t_s,mode,power_mw
12.2005,idle_listen,45.0
12.3,infer,180.0
12.3005,idle_listen,45.0
12.4,infer,180.0
12.4005,idle_listen,45.0
12.5,infer,180.0
12.5005,idle_listen,45.0
12.6,infer,180.0
12.6005,idle_listen,45.0
12.7,infer,180.0
12.7005,idle_listen,45.0
12.8,infer,180.0
12.8005,idle_listen,45.0
12.9,infer,180.0
12.9005,idle_listen,45.0
13.0,infer,180.0
13.0005,idle_listen,45.0
13.1,infer,180.0
13.1005,idle_listen,45.0
13.2,infer,180.0
13.2005,idle_listen,45.0
13.3,infer,180.0
13.3005,idle_listen,45.0
13.4,infer,180.0
13.4005,idle_listen,45.0
13.5,infer,180.0
13.5005,idle_listen,45.0
13.6,infer,180.0
13.6005,idle_listen,45.0
13.7,infer,180.0
13.7005,idle_listen,45.0
13.8,infer,180.0
13.8005,idle_listen,45.0
13.9,infer,180.0
13.9005,idle_listen,45.0
14.0,infer,180.0
14.0005,idle_listen,45.0
14.1,infer,180.0
14.1005,idle_listen,45.0
14.2,infer,180.0
14.2005,idle_listen,45.0
14.3,infer,180.0
14.3005,idle_listen,45.0
14.4,infer,180.0
14.4005,idle_listen,45.0
14.5,infer,180.0
14.5005,idle_listen,45.0
14.6,infer,180.0
14.6005,idle_listen,45.0
14.7,infer,180.0
14.7005,idle_listen,45.0
14.8,infer,180.0
14.8005,idle_listen,45.0
14.9,infer,180.0
14.9005,idle_listen,45.0
15.0,infer,180.0
15.0005,idle_listen,45.0
15.1,infer,180.0
15.1005,idle_listen,45.0
15.2,infer,180.0
15.2005,idle_listen,45.0
15.3,infer,180.0
15.3005,idle_listen,45.0
15.4,infer,180.0
15.4005,idle_listen,45.0
15.5,infer,180.0
15.5005,idle_listen,45.0
15.6,infer,180.0
15.6005,idle_listen,45.0
15.7,infer,180.0
15.7005,idle_listen,45.0
15.8,infer,180.0
15.8005,idle_listen,45.0
15.9,infer,180.0
15.9005,idle_listen,45.0
16.0,infer,180.0
16.0005,idle_listen,45.0
16.1,infer,180.0
16.1005,idle_listen,45.0
16.2,infer,180.0
16.2005,idle_listen,45.0
16.3,infer,180.0
16.3005,idle_listen,45.0
16.4,infer,180.0
16.4005,idle_listen,45.0
16.5,infer,180.0
16.5005,idle_listen,45.0
16.6,infer,180.0
16.6005,idle_listen,45.0
16.7,infer,180.0
16.7005,idle_listen,45.0
16.8,infer,180.0
16.8005,idle_listen,45.0
16.9,infer,180.0
16.9005,idle_listen,45.0
17.0,infer,180.0
17.0005,idle_listen,45.0
17.1,infer,180.0
17.1005,idle_listen,45.0
17.2,infer,180.0
17.2005,idle_listen,45.0
17.3,infer,180.0
17.3005,idle_listen,45.0
17.4,infer,180.0
17.4005,idle_listen,45.0
17.5,infer,180.0
17.5005,idle_listen,45.0
17.6,infer,180.0
17.6005,idle_listen,45.0
17.7,infer,180.0
17.7005,idle_listen,45.0
17.8,infer,180.0
17.8005,idle_listen,45.0
17.9,infer,180.0
17.9005,idle_listen,45.0
18.0,infer,180.0
18.0005,idle_listen,45.0
18.1,infer,180.0
18.1005,idle_listen,45.0
18.2,infer,180.0
18.2005,idle_listen,45.0
18.3,infer,180.0
18.3005,idle_listen,45.0
18.4,infer,180.0
18.4005,idle_listen,45.0
18.5,infer,180.0
18.5005,idle_listen,45.0
18.6,infer,180.0
18.6005,idle_listen,45.0
18.7,infer,180.0
18.7005,idle_listen,45.0
18.8,infer,180.0
18.8005,idle_listen,45.0
18.9,infer,180.0
18.9005,idle_listen,45.0
19.0,infer,180.0
19.0005,idle_listen,45.0
19.1,infer,180.0
19.1005,idle_listen,45.0
19.2,infer,180.0
19.2005,idle_listen,45.0
19.3,infer,180.0
19.3005,idle_listen,45.0
19.4,infer,180.0
19.4005,idle_listen,45.0
19.5,infer,180.0
19.5005,idle_listen,45.0
19.6,infer,180.0
19.6005,idle_listen,45.0
19.7,infer,180.0
19.7005,idle_listen,45.0
19.8,infer,180.0
19.8005,idle_listen,45.0
19.9,infer,180.0
19.9005,idle_listen,45.0
20.0,infer,180.0
20.0005,idle_listen,45.0
20.1,infer,180.0
20.1005,idle_listen,45.0
20.2,infer,180.0
20.2005,idle_listen,45.0
20.3,infer,180.0
20.3005,idle_listen,45.0
20.4,infer,180.0
20.4005,idle_listen,45.0
20.5,infer,180.0
20.5005,idle_listen,45.0
20.6,infer,180.0
20.6005,idle_listen,45.0
20.7,infer,180.0
20.7005,idle_listen,45.0
20.8,infer,180.0
20.8005,idle_listen,45.0
20.9,infer,180.0
20.9005,idle_listen,45.0
21.0,infer,180.0
21.0005,idle_listen,45.0
21.1,infer,180.0
21.1005,idle_listen,45.0
21.2,infer,180.0
21.2005,idle_listen,45.0
21.3,infer,180.0
21.3005,idle_listen,45.0
21.4,infer,180.0
21.4005,idle_listen,45.0
21.5,infer,180.0
21.5005,idle_listen,45.0
21.6,infer,180.0
21.6005,idle_listen,45.0
21.7,infer,180.0
21.7005,idle_listen,45.0
21.8,infer,180.0
21.8005,idle_listen,45.0
21.9,infer,180.0
21.9005,idle_listen,45.0
22.0,infer,180.0
22.0005,idle_listen,45.0
22.1,infer,180.0
22.1005,idle_listen,45.0
22.2,infer,180.0
22.2005,idle_listen,45.0
22.3,infer,180.0
22.3005,idle_listen,45.0
22.4,infer,180.0
22.4005,idle_listen,45.0
22.5,infer,180.0
22.5005,idle_listen,45.0
22.6,infer,180.0
22.6005,idle_listen,45.0
22.7,infer,180.0
22.7005,idle_listen,45.0
22.8,infer,180.0
22.8005,idle_listen,45.0
22.9,infer,180.0
22.9005,idle_listen,45.0
23.0,infer,180.0
23.0005,idle_listen,45.0
23.1,infer,180.0
23.1005,idle_listen,45.0
23.2,infer,180.0
23.2005,idle_listen,45.0
23.3,infer,180.0
23.3005,idle_listen,45.0
23.4,infer,180.0
23.4005,idle_listen,45.0
23.5,infer,180.0
23.5005,idle_listen,45.0
23.6,infer,180.0
23.6005,idle_listen,45.0
23.7,infer,180.0
23.7005,idle_listen,45.0
23.8,infer,180.0
23.8005,idle_listen,45.0
23.9,infer,180.0
23.9005,idle_listen,45.0
24.0,infer,180.0
24.0005,idle_listen,45.0
24.1,infer,180.0
24.1005,idle_listen,45.0
24.2,infer,180.0
24.2005,idle_listen,45.0
24.3,infer,180.0
24.3005,idle_listen,45.0
24.4,infer,180.0
24.4005,idle_listen,45.0
24.5,infer,180.0
24.5005,idle_listen,45.0
24.6,infer,180.0
24.6005,idle_listen,45.0
24.7,infer,180.0
24.7005,idle_listen,45.0
24.8,infer,180.0
24.8005,idle_listen,45.0
24.9,infer,180.0
24.9005,idle_listen,45.0
25.0,infer,180.0
25.0005,idle_listen,45.0
25.1,infer,180.0
25.1005,idle_listen,45.0
25.2,infer,180.0
25.2005,idle_listen,45.0
25.3,infer,180.0
25.3005,idle_listen,45.0
25.4,infer,180.0
25.4005,idle_listen,45.0
25.5,infer,180.0
25.5005,idle_listen,45.0
25.6,infer,180.0
25.6005,idle_listen,45.0
25.7,infer,180.0
25.7005,idle_listen,45.0
25.8,infer,180.0
25.8005,idle_listen,45.0
25.9,infer,180.0
25.9005,idle_listen,45.0
26.0,infer,180.0
26.0005,idle_listen,45.0
26.1,infer,180.0
26.1005,idle_listen,45.0
26.2,infer,180.0
26.2005,idle_listen,45.0
26.3,infer,180.0
26.3005,idle_listen,45.0
26.4,infer,180.0
26.4005,idle_listen,45.0
26.5,infer,180.0
26.5005,idle_listen,45.0
26.6,infer,180.0
26.6005,idle_listen,45.0
26.7,infer,180.0
26.7005,idle_listen,45.0
26.8,infer,180.0
26.8005,idle_listen,45.0
26.9,infer,180.0
26.9005,idle_listen,45.0
27.0,infer,180.0
27.0005,idle_listen,45.0
27.1,infer,180.0
27.1005,idle_listen,45.0
27.2,infer,180.0
27.2005,idle_listen,45.0
27.3,infer,180.0
27.3005,idle_listen,45.0
27.4,infer,180.0
27.4005,idle_listen,45.0
27.5,infer,180.0
27.5005,idle_listen,45.0
27.6,infer,180.0
27.6005,idle_listen,45.0
27.7,infer,180.0
27.7005,idle_listen,45.0
27.8,infer,180.0
27.8005,idle_listen,45.0
27.9,infer,180.0
27.9005,idle_listen,45.0
28.0,infer,180.0
28.0005,idle_listen,45.0
28.1,infer,180.0
28.1005,idle_listen,45.0
28.2,infer,180.0
28.2005,idle_listen,45.0
